words,southwest_lng,southwest_lat,northeast_lng,northeast_lat,nearestPlace,pt_lng,pt_lat,country,language
flounders.penguin.also,48.431126,55.484826,48.431174,55.484853,"Apastovo, Republic of Tatarstan",48.43115,55.48484,RU,en
flounders.penguin.back,48.57128,53.306975,48.571325,53.307002,"Shigony, Samara Oblast",48.571303,53.306988,RU,en
flounders.penguin.each,-37.012971,-8.435937,-37.012944,-8.43591,"Arcoverde, Pernambuco",-37.012958,-8.435923,BR,en
circulation.penguin.back,120.412237,-24.100528,120.412267,-24.100501,"Jigalong, Western Australia",120.412252,-24.100515,AU,en
circulation.penguin.both,-115.592077,36.67839,-115.592043,36.678417,"Pahrump, Nevada",-115.59206,36.678404,US,en
circulation.penguin.best,142.662787,-21.340314,142.662816,-21.340287,"Winton, Queensland",142.662801,-21.3403,AU,en
wasteful.penguin.back,76.815657,12.157342,76.815685,12.157368,"Tirumakudal Narsipur, Karnataka",76.815671,12.157355,IN,en
wasteful.penguin.much,-7.583443,9.950868,-7.583415,9.950895,"Odienné, Denguélé",-7.583429,9.950881,CI,en
wasteful.penguin.each,80.903234,27.519594,80.903264,27.519621,"Biswan, Uttar Pradesh",80.903249,27.519607,IN,en
stood.penguin.deep,141.845139,-12.799941,141.845167,-12.799914,"Weipa, Queensland",141.845153,-12.799927,AU,en
stood.penguin.good,-100.965852,34.798782,-100.96582,34.798809,"Clarendon, Texas",-100.965836,34.798795,US,en
stood.penguin.down,135.143065,-29.362899,135.143096,-29.362872,"Coober Pedy, South Australia",135.14308,-29.362885,AU,en
across.penguin.deep,144.959575,-20.976148,144.959604,-20.976121,"Hughenden, Queensland",144.959589,-20.976135,AU,en
across.penguin.even,126.35486,-17.620391,126.354888,-17.620364,"Halls Creek, Western Australia",126.354874,-17.620378,AU,en
across.penguin.each,-75.958701,36.265551,-75.958668,36.265578,"Camden, North Carolina",-75.958684,36.265564,US,en
currently.penguin.from,134.381833,-13.966365,134.381861,-13.966338,"Alyangula, Northern Territory",134.381847,-13.966351,AU,en
permanently.penguin.from,-24.003586,80.913055,-24.003415,80.913082,Northeast Greenland National Park,-24.003501,80.913069,GL,en
currently.penguin.life,-83.388137,36.79199,-83.388103,36.792017,"Harlan, Kentucky",-83.38812,36.792004,US,en
librarian.penguin.good,132.927913,-19.546572,132.927942,-19.546545,"Tennant Creek, Northern Territory",132.927928,-19.546558,AU,en
longstanding.penguin.good,-86.260671,34.81409,-86.260638,34.814117,"New Market, Alabama",-86.260655,34.814104,US,en
librarian.penguin.give,-106.171343,33.836783,-106.171311,33.83681,"Carrizozo, New Mexico",-106.171327,33.836797,US,en
acoustic.penguin.than,136.397617,-23.897585,136.397647,-23.897558,"Alice Springs, Northern Territory",136.397632,-23.897572,AU,en
acoustic.penguin.much,150.067881,-28.395726,150.067911,-28.395699,"Goondiwindi, Queensland",150.067896,-28.395712,AU,en
acoustic.penguin.such,135.423061,-21.291828,135.42309,-21.291801,"Ampilatwatja, Northern Territory",135.423076,-21.291815,AU,en
exposes.penguin.into,125.673276,-27.728196,125.673307,-27.728169,"Neale, Western Australia",125.673291,-27.728183,AU,en
exposes.penguin.like,131.049139,-23.075598,131.049168,-23.075571,"Kintore, Northern Territory",131.049153,-23.075585,AU,en
exposes.penguin.life,-78.090799,34.219976,-78.090767,34.220003,"Leland, North Carolina",-78.090783,34.21999,US,en
soporific.penguin.just,-50.608764,-8.938228,-50.608737,-8.938201,"Conceição do Araguaia, Pará",-50.608751,-8.938214,BR,en
soporific.penguin.jobs,-66.247465,0.830989,-66.247438,0.831016,"São Gabriel da Cachoeira, Amazonas",-66.247451,0.831002,VE,en
soporific.penguin.join,68.195708,44.656129,68.195746,44.656156,"Shalqīya, Kyzylorda Region",68.195727,44.656142,KZ,en
slighting.penguin.like,134.818894,46.73418,134.818933,46.734207,"Bikin, Khabarovsk Krai",134.818913,46.734193,RU,en
lighting.penguin.like,-77.298146,-6.002776,-77.298119,-6.002749,"Rioja, San Martín",-77.298132,-6.002763,PE,en
slighting.penguin.back,-41.187622,-4.506684,-41.187595,-4.506657,"Pedro II, Piauí",-41.187608,-4.50667,BR,en
wishing.penguin.from,119.214277,-28.349666,119.214308,-28.349639,"Leinster, Western Australia",119.214292,-28.349652,AU,en
hissing.penguin.from,148.274198,-22.858344,148.274228,-22.858317,"Tieri, Queensland",148.274213,-22.858331,AU,en
wishing.penguin.many,140.373218,-24.782988,140.373248,-24.782961,"Bedourie, Queensland",140.373233,-24.782975,AU,en
recessions.penguin.into,-105.883613,54.592847,-105.883566,54.592874,"La Ronge, Saskatchewan",-105.883589,54.592861,CA,en
recessions.penguin.many,145.933321,-31.269944,145.933352,-31.269917,"Cobar, New South Wales",145.933336,-31.26993,AU,en
